text,label
"['W', 'h', 'i', 't', 'e', ' ', 't', 'e', 'r', 'r', 'o', 'r', 'i', 's', 'm', ',', ' ', 'o', 'h', ' ', 'n', 'o', ' ', 'h', 'e', ""'"", 's', ' ', 'a', ' ', 'd', 'r', 'u', 'g', ' ', 'a', 'd', 'd', 'i', 'c', 't', ' ', 'o', 'r', ' ', 'h', 'e', ' ', 'm', 'u', 's', 't', ' ', 'b', 'e', ' ', 'd', 'r', 'u', 'n', 'k', ' ', 'o', 'r', ' ', 'd', 'e', 'p', 'r', 'e', 's', 's', 'e', 'd', '.', ' ', 'J', 'o', 'b', ' ', 'w', 'e', 'l', 'l', ' ', 'd', 'o', 'n', 'e', ' ', 'b', 'y', ' ', 'm', 'e', 'd', 'i', 'a', ' ', 'o', 'n', ' ', 'b', 'r', 'a', 'i', 'n', 'w', 'a', 's', 'h', 'i', 'n', 'g', ' ', 't', 'h', 'e', ' ', 'w', 'h', 'i', 't', 'e', 's', ' ', 'a', 'n', 'd', ' ', 'm', 'a', 'k', 'i', 'n', 'g', ' ', 't', 'h', 'e', 'm', ' ', 'p', 's', 'y', 'c', 'h', 'i', 'c', ' ', 'w', 'a', 'l', 'k', 'i', 'n', 'g', ' ', 'z', 'o', 'm', 'b', 'i', 'e', 's', '.', ' ', 'W', 'h', 'i', 't', 'e', 's', ' ', 'h', 'a', 'v', 'e', ' ', 'd', 'o', 'n', 'e', ' ', 'e', 'n', 'o', 'u', 'g', 'h', ' ', 'm', 'i', 's', 'c', 'h', 'i', 'e', 'f', ' ', 't', 'o', ' ', 'h', 'u', 'm', 'a', 'n', 'i', 't', 'y', '.', ' ', 'I', 'n', 'd', 'i', 'a', ' ', 'p', 'a', 'k', 'i', 's', 't', 'a', 'n', ' ', 'a', 'f', 'r', 'i', 'c', 'a', ' ', 'h', 'i', 'r', 'o', 's', 'h', 'i', 'm', 'a', ' ', '&', ' ', 'L', 'a', 't', 'i', 'n', 'o', 's', ' ', 'V', 'i', 'e', 't', 'n', 'a', 'm', 'e', 's', 'e', ',', ' ', 'I', 'r', 'a', 'q', ',', ' ', 'l', 'i', 'b', 'y', 'a', ',', ' ', 'S', 'u', 'd', 'a', 'n', ',', ' ', 'p', 'a', 'l', 'e', 's', 't', 'i', 'n', 'e', ' ', ',', ' ', 'c', 'h', 'e', 'c', 'h', 'n', 'i', 'y', 'a', ' ', 'b', 'o', 's', 'n', 'i', 'a', ',', ' ', 's', 'e', 'r', 'b', 'i', 'a', ' ', ',', ' ', 'M', 'u', 's', 'l', 'i', 'm', 's', ',', ' ', 'a', 't', 'l', 'e', 'a', 's', 't', ' ', '2', '0', ' ', 'm', 'i', 'l', 'l', 'i', 'o', 'n', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'a', 'r', 'e', ' ', 'b', 'e', 'i', 'n', 'g', ' ', 'k', 'i', 'l', 'l', 'e', 'd', ' ', 'a', 'f', 't', 'e', 'r', ' ', 'w', 'w', '2', ' ', 'b', 'y', ' ', 'U', 'S', 'A', ' ', 'a', 'l', 'o', 'n', 'e', '.', ' ', 'F', 'r', 'e', 'a', 'k', 'i', 'n', 'g', ' ', '1', '4', ' ', 't', 'r', 'i', 'l', 'l', 'i', 'o', 'n', ' ', '$', ' ', 's', 'p', 'e', 'n', 't', ' ', 'o', 'n', 'l', 'y', ' ', 'o', 'n', ' ', 'w', 'a', 'r', ' ', 'i', 'n', ' ', 'f', 'o', 'r', 'e', 'i', 'g', 'n', ' ', 's', 'o', 'i', 'l', ' ', 'i', 'n', ' ', 't', 'h', 'e', ' ', 'l', 'a', 's', 't', ' ', '3', ' ', 'd', 'e', 'c', 'a', 'd', 'e', 's', ' ', 'b', 'y', ' ', 'U', 'S', 'A', ' ', '.', ' ', 't', 'h', 'o', 's', 'e', ' ', 'i', 'n', 'n', 'o', 'c', 'e', 'n', 't', ' ', 'l', 'i', 'v', 'e', 's', ' ', 'a', 'r', 'e', ' ', 'a', 'l', 'l', ' ', 's', 'o', 'm', 'e', 'o', 'n', 'e', 's', ' ', 'f', 'a', 't', 'h', 'e', 'r', ""'"", 's', ' ', 'm', 'o', 't', 'h', 'e', 'r', 's', ' ', 's', 'o', 'n', 's', ' ', 'd', 'a', 'u', 'g', 'h', 't', 'e', 'r', 's', ' ', 'b', 'r', 'o', 't', 'h', 'e', 'r', 's', ' ', 's', 'i', 's', 't', 'e', 'r', 's', ' ', 'g', 'r', 'a', 'n', 'd', ' ', 'p', 'a', 'r', 'e', 'n', 't', 's', ' ', 'u', 'n', 'c', 'l', 'e', 's', ' ', 'a', 'n', 'd', ' ', 'a', 'u', 'n', 't', 's', '.', ' ', 'W', 'h', 'y', ' ', 'd', 'o', 'e', 's', ' ', 'w', 'h', 'i', 't', 'e', 's', ' ', 'a', 'l', 'w', 'a', 'y', 's', ' ', 'w', 'a', 'n', 'n', 'a', ' ', 'g', 'o', ' ', 'f', 'i', 's', 'h', 'i', 'n', 'g', ' ', 'i', 'n', ' ', 'p', 'o', 'o', 'r', ' ', 'm', 'a', 'n', ""'"", 's', ' ', 'w', 'a', 't', 'e', 'r', ' ', 'a', 'n', 'd', ' ', 's', 't', 'e', 'a', 'l', ' ', 't', 'h', 'e', 'i', 'r', ' ', 'f', 'i', 's', 'h', ' ', '?']",1
"['W', 'h', 'a', 't', ' ', 'a', ' ', 'b', 'u', 'n', 'c', 'h', ' ', 'o', 'f', ' ', 'B', 'S', '.', ' ', 'K', 'i', 'l', 'l', 'e', 'r', 'y', ' ', 'C', 'l', 'i', 'n', 't', 'o', 'm', ' ', 'a', 'n', 'd', ' ', 'h', 'e', 'r', ' ', 'g', 'o', 'o', 'n', 's', ' ', 'm', 'u', 'r', 'd', 'e', 'r', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ',', ' ', 'a', 'n', 'd', ' ', 'f', 'u', 'n', 'd', ' ', 't', 'e', 'r', 'r', 'o', 'r', 'i', 's', 't', 's', '.', ' ', 'S', 't', 'o', 'p', ' ', 'w', 'a', 't', 'c', 'h', 'i', 'n', 'g', ' ', 'm', 'a', 'i', 'n', 's', 't', 'r', 'e', 'a', 'm', ' ', 'm', 'e', 'd', 'i', 'a', ' ', 'u', 'n', 'p', 'l', 'u', 'g', ' ', 'y', 'o', 'u', 'r', 's', 'e', 'l', 'v', 'e', 's', ' ', 'f', 'r', 'o', 'm', ' ', 't', 'h', 'e', 's', 'e', ' ', 'l', 'i', 'e', 's', ' ', 'a', 'n', 'd', ' ', 'd', 'e', 'c', 'e', 'p', 't', 'i', 'o', 'n', '.', ' ', 'U', 's', 'a', 'w', 'a', 't', 'c', 'h', 'd', 'o', 'g', ',', ' ', 'S', 'g', 't', ' ', 'r', 'e', 'p', 'o', 'r', 't', ',', ' ', 'X', '2', '2', 'r', 'e', 'p', 'o', 'r', 't', ',', ' ', 'w', 'a', 'k', 'e', ' ', 'u', 'p', '!', ' ', 'T', 'h', 'e', 'y', ' ', 'a', 'r', 'e', ' ', 'p', 'l', 'a', 'y', 'i', 'n', 'g', ' ', 'y', 'o', 'u', '.']",1
"['T', 'h', 'e', ' ', 'C', 'o', 'u', 'n', 't', 'y', ' ', 'S', 'h', 'e', 'r', 'i', 'f', 'f', ' ', 'h', 'a', 's', ' ', 's', 't', 'a', 't', 'e', 'd', ':', ' ', '""', 'P', 'e', 'o', 'p', 'l', 'e', ' ', 'w', 'i', 't', 'h', ' ', 'a', 'n', ' ', 'i', 'd', 'e', 'o', 'l', 'o', 'g', 'y', ' ', 'a', 'n', 'd', ' ', 'a', 'g', 'e', 'n', 'd', 'a', ' ', 'n', 'o', 't', ' ', 'f', 'r', 'o', 'm', ' ', 'h', 'e', 'r', 'e', ' ', 'a', 'r', 'e', ' ', 'b', 'r', 'i', 'n', 'g', 'i', 'n', 'g', ' ', 'i', 't', ' ', 'h', 'e', 'r', 'e', '.', '""', ' ', 'A', 'n', 'd', ' ', 't', 'h', 'a', 't', ""'"", 's', ' ', 'b', 'o', 'l', 'l', 'o', 'c', 'k', 's', '.', ' ', 'T', 'h', 'i', 's', ' ', 'i', 's', ' ', 'n', 'a', 't', 'i', 'v', 'e', ' ', 'l', 'a', 'n', 'd', ' ', 'y', 'o', 'u', ""'"", 'r', 'e', ' ', 'o', 'n', ' ', 'a', 'b', 'o', 'u', 't', '.', ' ', 'T', 'h', 'a', 't', ' ', 'i', 'd', 'e', 'o', 'l', 'o', 'g', 'y', ' ', 'i', 's', ' ', 'm', 'o', 'r', 'e', ' ', ""'"", 'f', 'r', 'o', 'm', ' ', 'h', 'e', 'r', 'e', ""'"", ' ', 't', 'h', 'a', 'n', ' ', 'y', 'o', 'u', ' ', 'a', 'r', 'e', ',', ' ', 'd', 'i', 'p', 's', 'h', 'i', 't', '.']",1
"['T', 'h', 'a', 't', ""'"", 's', ' ', 'h', 'o', 'w', ' ', 'E', 'U', ' ', 's', 'e', 'e', 's', ' ', 't', 'h', 'e', ' ', 'f', 'r', 'e', 'e', 'd', 'o', 'm', '?', ' ', 'B', 'e', ' ', 'n', 'a', 'k', 'e', 'd', ',', ' ', 'g', 'a', 'y', ' ', 'm', 'a', 'r', 'r', 'i', 'a', 'g', 'e', ',', ' ', 'l', 'e', 's', 'b', 'i', 'a', 'n', ',', ' ', 'c', 'e', 'l', 'e', 'b', 'r', 'a', 't', 'e', ' ', 'd', 'o', 'g', 's', ' ', 'w', 'e', 'd', 'd', 'i', 'n', 'g', '.', ' ', 'A', 'n', 'd', ' ', 't', 'h', 'o', 'u', 's', 'a', 'n', 'd', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'b', 'u', 'l', 'l', 's', 'h', 'i', 't', ' ', 't', 'h', 'i', 'n', 'g', 's', '.']",1
"['W', 't', 'f', ' ', 'd', 'o', 'e', 's', ' ', 't', 'h', 'i', 's', ' ', 'h', 'a', 'v', 'e', ' ', 't', 'o', ' ', 'd', 'o', ' ', 'w', 'i', 't', 'h', ' ', 'Z', 'u', 'c', 'k', 'e', 'r', 'b', 'e', 'r', 'g', ',', ' ', 'w', 'h', 'o', ' ', 'm', 'o', 's', 't', ' ', 'p', 'p', 'l', ' ', 'd', 'o', 'n', ""'"", 't', ' ', 'l', 'i', 'k', 'e', ' ', 'a', 'n', 'y', 'w', 'a', 'y', '?', ' ', 'I', 'f', ' ', 'y', 'o', 'u', ""'"", 'r', 'e', ' ', 'g', 'o', 'i', 'n', 'g', ' ', 't', 'o', ' ', 'a', 's', 's', 'a', 'u', 'l', 't', ' ', 'o', 'u', 'r', ' ', 'e', 'y', 'e', 's', ' ', 'w', 'i', 't', 'h', ' ', 'u', 'g', 'l', 'i', 'n', 'e', 's', 's', ',', ' ', 'm', 'a', 'k', 'e', ' ', 'i', 't', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'A', 'C', 'T', 'U', 'A', 'L', ' ', 'v', 'i', 'c', 't', 'i', 'm', 's', ',', ' ', 'n', 'o', 't', ' ', 's', 'o', 'm', 'e', ' ', 't', 'e', 'c', 'h', ' ', 'j', 'e', 'r', 'k', ' ', 'b', 'i', 'l', 'l', 'i', 'o', 'n', 'a', 'i', 'r', 'e', ' ', 'f', 'e', 'w', ' ', 'p', 'p', 'l', ' ', 'c', 'a', 'r', 'e', ' ', 'a', 'b', 'o', 'u', 't', '.']",1
"['H', 'a', 'n', 'g', ' ', 't', 'h', 'i', 's', ' ', 'b', 'y', ' ', 't', 'h', 'e', ' ', 'c', 'h', 'a', 'i', 'n', ' ', 'h', 'e', ' ', 'h', 'a', 'd', ' ', 'h', 'e', 'r', ' ', 'l', 'o', 'c', 'k', 'e', 'd', ' ', 'u', 'p', ' ', 'w', 'i', 't', 'h', ' ', 'f', 'o', 'r', ' ', '2', ' ', 'm', 'o', 'n', 't', 'h', 's', '!', ' ', 'T', 'h', 'e', ' ', 'J', 'u', 's', 't', 'i', 'c', 'e', ' ', 'S', 'y', 's', 't', 'e', 'm', ' ', 'w', 'i', 'l', 'l', ' ', 'l', 'e', 't', ' ', 'h', 'i', 'm', ' ', 'o', 'f', 'f', ' ', 't', 'o', 'o', ' ', 'e', 'a', 's', 'y', '.']",1
"['T', 'o', ' ', 't', 'h', 'o', 's', 'e', ' ', 'w', 'h', 'o', ' ', 'd', 'e', 'n', 'y', ' ', 'a', 'n', 'd', ' ', 's', 'a', 'y', ' ', 'l', 'i', 'a', 'r', 's', ',', ' ', 'k', 'e', 'e', 'p', ' ', 's', 'a', 'y', 'i', 'n', 'g', ' ', 't', 'h', 'a', 't', ',', ' ', 'i', 't', ' ', 'w', 'i', 'l', 'l', ' ', 'c', 'o', 'm', 'e', ' ', 'b', 'a', 'c', 'k', ' ', 't', 'o', ' ', 'y', 'o', 'u', ',', ' ', 'w', 'h', 'e', 'n', ' ', 'y', 'o', 'u', ' ', 's', 'u', 'f', 'f', 'e', 'r', ' ', 'o', 'r', ' ', 'g', 'e', 't', ' ', '.', '.', 'm', 'a', 'n', 'y', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'w', 'i', 'l', 'l', ' ', 't', 'h', 'i', 'n', 'k', ' ', 'y', 'o', 'u', ' ', 'a', 'r', 'e', ' ', 'l', 'i', 'a', 'r', 's', ' ', 't', 'o', 'o', '.']",1
"['O', 'k', 'a', 'y', ',', ' ', 'I', ' ', 's', 'o', 'm', 'e', 'h', 'o', 'w', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e', ' ', 't', 'h', 'a', 't', ' ', 't', 'h', 'e', ' ', 'a', 't', 't', 'a', 'c', 'k', 'e', 'r', 's', ' ', 'w', 'e', 'r', 'e', ' ', 't', 'e', 'r', 'r', 'o', 'r', 'i', 's', 't', 's', ',', ' ', 'a', 'j', '+', ' ', 'i', 's', ' ', 'a', ' ', 'b', 'i', 'a', 's', 'e', 'd', ' ', 'c', 'h', 'a', 'n', 'n', 'e', 'l', '?', ' ', 'F', 'i', 'n', 'e', '.', ' ', 'H', 'o', 'w', ' ', 't', 'h', 'e', ' ', 'h', 'e', 'c', 'k', ' ', 'c', 'a', 'n', ' ', 'y', 'o', 'u', ' ', 'j', 'u', 's', 't', 'i', 'f', 'y', ' ', 'k', 'i', 'l', 'l', 'i', 'n', 'g', ' ', 'o', 'f', ' ', 'a', 'n', ' ', 'e', 'l', 'e', 'v', 'e', 'n', ' ', 'y', 'e', 'a', 'r', ' ', 'o', 'l', 'd', ' ', 'w', 'i', 't', 'h', ' ', 'p', 'e', 'l', 'l', 'e', 't', 's', ',', ' ', 'h', 'o', 'w', ' ', 'w', 'o', 'u', 'l', 'd', ' ', 'y', 'o', 'u', ' ', 'j', 'u', 's', 't', 'i', 'f', 'y', ' ', 'b', 'l', 'i', 'n', 'd', 'i', 'n', 'g', ' ', 't', 'h', 'o', 'u', 's', 'a', 'n', 'd', 's', ' ', 'o', 'f', ' ', 'k', 'a', 's', 'h', 'm', 'i', 'r', 'i', 's', '?', ' ', 'H', 'o', 'w', ' ', 'c', 'a', 'n', ' ', 'y', 'o', 'u', ' ', 'd', 'e', 'n', 'y', ' ', 't', 'h', 'e', 'i', 'r', ' ', 'r', 'i', 'g', 'h', 't', ' ', 't', 'o', ' ', 'm', 'o', 'v', 'e', ' ', 'f', 'r', 'e', 'e', 'l', 'y', ' ', 'a', 'n', 'd', ' ', 'p', 'r', 'o', 't', 'e', 's', 't', ' ', 'f', 'o', 'r', ' ', 'w', 'h', 'a', 't', 'e', 'v', 'e', 'r', ' ', 't', 'h', 'e', 'y', ' ', 'w', 'a', 'n', 't', ' ', '?', ' ', 'I', ' ', 'a', 'm', ' ', 'c', 'l', 'u', 'e', 'l', 'e', 's', 's', ' ', 'b', 'u', 't', ' ', 'w', 'h', 'a', 't', 'e', 'v', 'e', 'r', ' ', 'y', 'o', 'u', ' ', 's', 'a', 'y', ',', ' ', 'I', ' ', 'h', 'a', 'v', 'e', ' ', 'm', 'y', ' ', 'c', 'o', 'm', 'm', 'o', 'n', ' ', 's', 'e', 'n', 's', 'e', ' ', 's', 'o', ' ', 'w', 'h', 'a', 't', 'e', 'v', 'e', 'r', ' ', 'r', 'e', 'a', 's', 'o', 'n', ' ', 'y', 'o', 'u', ' ', 'i', 'n', 'd', 'i', 'a', 'n', 's', ' ', 'h', 'a', 'v', 'e', ' ', 'f', 'o', 'r', ' ', 'k', 'i', 'l', 'l', 'i', 'n', 'g', 's', ' ', 'a', 'n', 'd', ' ', 'i', 'n', 'j', 'u', 'r', 'i', 'n', 'g', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'o', 'f', ' ', 'K', 'a', 's', 'h', 'm', 'i', 'r', ',', ' ', 'i', 't', ""'"", 's', ' ', 's', 'e', 'n', 's', 'e', 'l', 'e', 's', 's', ' ', 'a', 'n', 'd', ' ', 'g', 'o', 'd', 'd', 'a', 'm', 'n', ' ', 'f', 'a', 'k', 'e', ' ', 'A', 'n', 'd', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'g', 'u', 'y', ' ', 'w', 'h', 'o', ' ', 's', 'a', 'i', 'd', ' ', 't', 'h', 'e', 'y', ""'"", 'l', 'l', ' ', 't', 'a', 'k', 'e', ' ', 'B', 'a', 'l', 'o', 'c', 'h', 'i', 's', 't', 'a', 'n', ' ', 'a', 's', ' ', 't', 'h', 'e', 'y', ' ', 't', 'o', 'o', 'k', ' ', 'b', 'a', 'n', 'g', 'l', 'a', 'd', 'e', 's', 'h', ' ', 'a', 'n', 'd', ' ', 'K', 'a', 's', 'h', 'm', 'i', 'r', ' ', ':', ' ', 'b', 'i', 't', 'c', 'h', ' ', 'c', 'o', 'm', 'e', ' ', 'g', 'i', 'v', 'e', ' ', 'i', 't', ' ', 'a', ' ', 't', 'r', 'y', ',', ' ', 'w', 'e', ""'"", 'l', 'l', ' ', 'c', 'u', 't', ' ', 'y', 'o', 'u', 'r', ' ', 'b', 'a', 'l', 'l', 's', ' ', 'a', 'n', 'd', ' ', 'c', 'h', 'o', 'k', 'e', ' ', 'y', 'o', 'u', ' ', 'w', 'i', 't', 'h', ' ', 'y', 'o', 'u', ' ', 'b', 'a', 'l', 'l', 's', 'a', 'c', 'k', ',', ' ', 'k', 'a', 's', 'h', 'm', 'i', 'r', ' ', 'i', 's', ' ', 'a', 'n', ' ', 'm', 'a', 't', 't', 'e', 'r', ',', ' ', 'b', 'u', 't', ' ', 'w', 'h', 'e', 'n', ' ', 'y', 'o', 'u', ' ', 't', 'a', 'l', 'k', ' ', 'o', 'f', ' ', 'o', 'u', 'r', ' ', 'l', 'a', 'n', 'd', ',', ' ', 'w', 'e', ""'"", 'l', 'l', ' ', 'r', 'i', 'p', ' ', 'y', 'o', 'u', 'r', ' ', 'i', 'n', 't', 'e', 's', 't', 'i', 'n', 'e', 's', ' ', 'o', 'u', 't', ' ', 'o', 'f', ' ', 'y', 'o', 'u', ' ', 'a', 'n', 'd', ' ', 's', 'h', 'o', 'v', 'e', ' ', 't', 'h', 'e', 'm', ' ', 'u', 'p', ' ', 'y', 'o', 'u', 'r', ' ', 'a', 's', 's', ',', ' ', 'b', 'i', 't', 'c', 'h', ' ', 'c', 'o', 'm', 'e', ' ', 'g', 'i', 'v', 'e', ' ', 'i', 't', ' ', 'a', ' ', 't', 'r', 'y', '?']",1
"['W', 'o', 'w', ' ', 'm', 'a', 'r', 'k', ' ', 'w', 'a', 'y', ' ', 't', 'o', ' ', 'b', 'e', ' ', 'a', ' ', 'd', 'o', 'u', 'c', 'h', 'e', '!', '!', ' ', 'W', 'h', 'y', ' ', 'd', 'o', 'n', ""'"", 't', ' ', 'y', 'o', 'u', ' ', 't', 'a', 'k', 'e', ' ', 'a', ' ', 's', 't', 'a', 'n', 'd', ' ', 'a', 'n', 'd', ' ', 'f', 'i', 'g', 'h', 't', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', 's', 'e', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'i', 'n', 's', 't', 'e', 'a', 'd', ' ', 'o', 'f', ' ', 's', 't', 'e', 'a', 'l', 'i', 'n', 'g', ' ', 't', 'h', 'e', 'i', 'r', ' ', 'l', 'a', 'n', 'd', ' ', 'f', 'o', 'r', ' ', 'y', 'o', 'u', 'r', ' ', 'o', 'w', 'n', ' ', 's', 'e', 'l', 'f', 'i', 's', 'h', ' ', 'u', 's', 'e', '!']",1
"['I', ' ', 'l', 'i', 'k', 'e', ' ', 'h', 'o', 'w', ' ', 't', 'h', 'e', ' ', 'p', 'r', 'e', 's', 'i', 'd', 'e', 'n', 't', ' ', 'j', 'u', 's', 't', ' ', 'r', 'e', 'a', 'd', 's', ' ', 't', 'h', 'e', ' ', 'f', 'a', 'c', 't', 's', ' ', 'a', 's', ' ', 'i', 'f', ' ', 'i', 't', ""'"", 's', ' ', 'n', 'o', 't', 'h', 'i', 'n', 'g', '.', ' ', 'T', 'h', 'a', 'n', 'k', 's', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', ' ', 's', 'h', 'e', 'r', 'l', 'o', 'c', 'k', ',', ' ', 'i', 't', ""'"", 's', ' ', 'n', 'o', 't', ' ', 'a', 's', ' ', 'i', 'f', ' ', 'w', 'e', ' ', 'd', 'i', 'd', 'n', ""'"", 't', ' ', 'k', 'n', 'o', 'w', ' ', 'i', 't', ' ', 'w', 'a', 's', ' ', 't', 'h', 'e', 'r', 'e', '.', ' ', 'W', 'h', 'e', 'r', 'e', ""'"", 's', ' ', 't', 'h', 'e', ' ', 's', 'o', 'l', 'u', 't', 'i', 'o', 'n', '?', ' ', 'A', 'l', 'l', ' ', 'I', ' ', 'h', 'e', 'a', 'r', ' ', 'i', 's', ' ', '""', 'm', 'a', 's', 's', ' ', 's', 'h', 'o', 'o', 't', 'i', 'n', 'g', 's', ' ', 't', 'h', 'i', 's', '""', ' ', 'a', 'n', 'd', ' ', '""', 'm', 'a', 's', 's', ' ', 'k', 'i', 'l', 'l', 'i', 'n', 'g', 's', ' ', 't', 'h', 'a', 't', '""', ' ', 'h', 'o', 'w', ' ', 'a', 'b', 'o', 'u', 't', ' ', 'l', 'e', 't', ""'"", 's', ' ', 's', 't', 'o', 'p', ' ', 't', 'h', 'e', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', ',', ' ', 'c', 'a', 'u', 's', 'e', ' ', 'i', 't', ""'"", 's', ' ', 'n', 'o', 't', 'h', 'i', 'n', 'g', ' ', 'n', 'e', 'w', ' ', 'i', 't', ""'"", 's', ' ', 'b', 'e', 'e', 'n', ' ', 'h', 'a', 'p', 'p', 'e', 'n', 'i', 'n', 'g', ' ', 'f', 'o', 'r', ' ', 'A', 'G', 'E', 'S', ',', ' ', 'h', 'o', 'w', ' ', 'a', 'b', 'o', 'u', 't', ' ', 'w', 'e', ' ', 'c', 'o', 'm', 'e', ' ', 'u', 'p', ' ', 'w', 'i', 't', 'h', ' ', 'a', ' ', 'p', 'r', 'o', 'p', 'e', 'r', ' ', 's', 'o', 'l', 'u', 't', 'i', 'o', 'n', '.', ' ', 'A', 'l', 'l', ' ', 'c', 'o', 'p', 's', ' ', 't', 'h', 'a', 't', ' ', 'h', 'a', 'v', 'e', ' ', 'k', 'i', 'l', 'l', 'e', 'd', ' ', 'b', 'l', 'a', 'c', 'k', 's', ' ', 'a', 'n', 'd', ' ', 'w', 'h', 'i', 't', 'e', 's', ' ', 'f', 'o', 'r', ' ', 'u', 'n', 'j', 'u', 's', 't', 'i', 'f', 'i', 'e', 'd', ' ', 'r', 'e', 'a', 's', 'o', 'n', 's', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'b', 'e', ' ', 'p', 'u', 't', ' ', 'o', 'n', ' ', 't', 'r', 'i', 'a', 'l', ' ', 'a', 'n', 'd', ' ', 'o', 'r', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'n', 'o', 't', ' ', 'b', 'e', ' ', 'a', 'l', 'l', 'o', 'w', 'e', 'd', ' ', 't', 'o', ' ', 'b', 'e', ' ', 'o', 'n', ' ', 't', 'h', 'e', ' ', 'p', 'o', 'l', 'i', 'c', 'e', ' ', 'f', 'o', 'r', 'c', 'e', ' ', 'a', 'n', 'y', 'm', 'o', 'r', 'e', '.', ' ', 'S', 'i', 'm', 'p', 'l', 'e', 's', '.', ' ', 'I', ' ', 'd', 'o', 'n', ""'"", 't', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e', ' ', 't', 'h', 'e', 'y', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'b', 'e', ' ', 'p', 'u', 't', ' ', 't', 'o', ' ', 'd', 'e', 'a', 't', 'h', ' ', 'o', 'r', ' ', 'a', 'n', 'y', 't', 'h', 'i', 'n', 'g', ',', ' ', 'c', 'a', 'u', 's', 'e', ' ', 'i', 't', ' ', 'm', 'a', 'k', 'e', 's', ' ', 'u', 's', ' ', 'n', 'o', ' ', 'b', 'e', 't', 't', 'e', 'r', ' ', 'b', 'u', 't', ' ', 's', 't', 'i', 'l', 'l', ' ', 'a', ' ', 'p', 'u', 'n', 'i', 's', 'h', 'm', 'e', 'n', 't', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'o', 's', 'e', ' ', 'c', 'o', 'p', 's', ' ', 'i', 's', ' ', 'm', 'o', 'r', 'e', ' ', 't', 'h', 'a', 'n', ' ', 'o', 'v', 'e', 'r', 'd', 'u', 'e', '.', ' ', 'L', 'e', 't', ""'"", 's', ' ', 'g', 'e', 't', ' ', 'r', 'i', 'd', ' ', 'o', 'f', ' ', 't', 'h', 'o', 's', 'e', ' ', 's', 'c', 'u', 'm', 'b', 'a', 'g', 's', ' ', 'f', 'i', 'r', 's', 't', ' ', 'b', 'e', 'f', 'o', 'r', 'e', ' ', 'p', 'r', 'o', 'c', 'e', 'e', 'd', 'i', 'n', 'g', ' ', 't', 'o', ' ', 'o', 't', 'h', 'e', 'r', ' ', 'a', 'c', 't', 'i', 'o', 'n', 's', '.', ' ', 'C', 'a', 'n', ""'"", 't', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'e', ' ', 'i', 't', ""'"", 's', ' ', 's', 'o', ' ', 'h', 'a', 'r', 'd', ' ', 'f', 'o', 'r', ' ', 'a', ' ', 'p', 'o', 'l', 'i', 't', 'i', 'c', 'a', 'n', ' ', 'o', 'r', ' ', 'a', ' ', 'm', 'e', 'm', 'b', 'e', 'r', ' ', 'o', 'f', ' ', 'g', 'o', 'v', 'e', 'r', 'n', 'm', 'e', 'n', 't', ' ', 't', 'o', ' ', 'd', 'e', 'a', 'l', ' ', 'w', 'i', 't', 'h', ' ', 'i', 't', ' ', 'p', 'r', 'o', 'p', 'e', 'r', 'l', 'y', '.']",1
