text,label
if that broke my jaw i'd find him and brake his,1
"i hate President Bashar.he killed many kids n more people in syria.i dont understand why OBAMA n other country still have good relation with him.HE CLAIM HIMSELF AS GOD AND KILLED who dont want obey him n want him be head in those country.i ask innosence syrian who run away to my country by myself n hate many fakes news in TV,.he even scared back his own home n tell me much abt IS REAL ALSO FAKE MUSLIM.nw many group using islam name n claim they wanna jihad but they attact innosense syrian n KHILAFAH who pretend own land.wat the FUCK!!",1
"The major problem? It will take 36 hours and cost 11 MILLION DOLLARS???? Ok, wait a second... 11 million divided by 36 hours is about $ 306,000 an hour. Why not $10 million an hour? or $20 million an hour??? If the Dr's and the hospital volunteers their time and facilities, this shouldn't cost more than a few hundred thousand dollars TOPS ! I Shit on your ""medical business""",1
"So murder them out first.. What ever is left give them a piece of land to live on and then just to show your real colors pollute that piece of land just to be sure they are vanished anyway. Wow ""Murica"". Just Wow.",1
"Pigs can do this to kids in schools, but PARENTS can beat their asses at HOME????? Wtf?????",1
what stupid cop got there gun stolen?,1
Jew grabbing more and more land,1
Lol the Mother Fucker Custodian of World Peace #USA. My ass! 120+ black people killed by white police officers. Still ALL Muslims are terrorists. WHITE HAVE KILLED MORE IN DECADES. (Not against white),1
Muslims are assholes. #Allofthem,1
"Because Trump and Bill Clinton were both implicated in the Jeffrey Epstein pedophile both raped children. They don't mention Trump because they don't want to mention that along with all his rapes of adult women, Bill Clinton also rapes children.",1
"Umm it does belong to white men and if you honestly believe it doesn't then your a fool. I'm not happy with that, I am a (Native American woman)and we have got to realize who is in control and stand up and do something about it. We should respect one another roots even if we don't like the leaves, people need to realize that we are nothing without this earth providing for, we need to realize these rich white men think they are in a game of monopoly but what they really are is the dark side and we need to realize we can be the force, we can stop it and they very well know it. They throw all there wealth in our faces and make us want it but we don't need it. The hunger for it will destroy us all. They are destroyer of worlds. They are cancer on earth and delight in power over others. Open your eyes people and stop hating and start loving your and fight for her #nodapl #rebel",1
"Everybody on stage took it well, except that ahole that snatched the paper out of the older gentleman's hand. Rude. So it was fixed Now ppl are here arguing about it making it into race and all this other nonsense. Y'all didn't get a good night sleep or something?",1
This is first and foremost a disaster in the Middle East was created by the oil hunger greedy western Zionist and its elite puppet leaders in the Arab world! They should all deal with it! Who are you fooling here?! Go and fool sheeple! Shame on you!,1
