text,label
"Then people wonder why there are other organizations out there specifically for people of color. Because there are still things that go on today that aren't proportionate. And a lot of people can fool themselves into believing it is, but that isn't reality. 
The fact that you don't hear about any of these girls and when they are reported on, it's mostly their age without their names and/or background.  
Until things change with the media and government there will always be division. I'm talking about different words for different individuals. If we are American it should be the same across the board.",0
"You ask Hitler about ""How GOOD Jewish people is ?"" and didn't get beaten by SS troops.

But asking Israeli soldier to stop firing tear gas ? jailed by evil Jewish.",1
"Everybody is talking and missing the point. Blah blah blah with the colonies, it already happened, we can't change that. ""I wish they can have a studio"" but no one will actually donate to help these children. European colonialism? Where is the government who is stealing from the donations and making their family filthy rich, scratching their bellies while the nation is in poverty? America was under European colonialism and where are we now? You prosper! Instead of defending the wrong, do something right and actually help these children! Like I did by contacting Capezio dance clothing company and figure out how we can donate the necessary material for an exciting, beautiful and joyful art of dance!",1
I'm glad that Anonymous is taking action and making those Isis bastards pay for all of those lives.You go Anonymous,1
FUCK THEM KILL ALL THE PARASITES!,1
WTF AMERICA HOW MANY FUCKING LIVES MUST U TAKE ???!!! YES IM NOT FROM AMERICA BUT SEEING ALL THESE NEWS MUST ME SO FUCKING ANGRY. POLICE IN AMERICA HAVE NO FUCKING BRAINS LIKE SERIOUSLY A POLICE JOB IS TO PROTECT NOT KILL OR HURT,1
"to be honest they both stink, the right place to get pizza is Napoli, Italia 
but if we have to choose between these two things that are supposed to be pizza I would choose Chicago",0
"If Refugees landed at my doorstep, well. I'd have a shotgun waiting for them. I'm from 'MURICA MUTHAFUCKA!... Plus we have our own issues with Illegals...",1
"I was watching this and was thinking, you know what's a much bigger fear that most people live in. The fear of hell fire, parents instill this fear into their kids at a very early age. People tell me all the time as to why do I care about what other people believe in. Well I also want to protect you from the fear of your imaginary god.",0
"Damn, this country is going to hell in a hand basket...we're actually having these assassins cone here cuz they can't fix shit in their country? Check this, thanks to the ""new"" administration...
We're going to make America great again.",1
"I'm sitting here thinking about the fact that Al Jazeera(AJ) is showing Jesus as a little girl, and Mary as a man, but they won't show a damn image of Muhammed played with or messed with? So it's okay to blasphemously depicted Christian images and Saints, but they get in a fit over Muhammed being blasphemed in art? Hypocrites.",1
Fucking stupid anti capitalist scum. Socialism is why you fucks are in poverty. This cannel will get you retards out of poverty you fucking retard,1
for all the ones who want the confederate flag down let me ask you how many of you are democrats?,0
"I believe this is a natural gas war, and there are many players. America is at the top of the list of course... sick dumb FUCKing American government .. invest in green wind, waves, and sun!",1
"Russia ,do what you have to do.Fuck you islamic fucks!",1
I wish I'm there to help them out. I don't like to see any colors being struggling.  We are all human beings. No one is perfect.  I'm heartbroken.  My fiance is a illegal immigration in italy. I'm in usa . I don't know how to get him a help since he's in italy.. I understand how this feels. I have alots Mexican friends..,0
"Country all in ruins because of a dictator, and a bunch of islamic motherfuckers.",1
As much as I hate Muslims and the invaders in general at the very least I can respect them somewhat.  I can't say the same for the German cucks bowing down to these people.,1
"Fuck islam
Allah u Fuckbar",1
"Trump's Grandpa was an immigrant himself, it's amazing how many people in that country support an immigration ban where they all are from immigration themselves. I absolutely don't get it. We're all immigrants at one point or another if you follow the family tree.",0
"more money (for welfare), more problems (for sweden). i would never give them citizenship. they are there for only one reason. and no they are not refugees it's a road trip for more benefits.",0
Hang this mutherfucker by the chain he had her locked up with for 2 months! The Justice System will let him off too easy.,1
"As a white person this doesn't offend me at all. Why ? Because she isn't putting on ""white face"" to make fun of white people . She is putting on ""white face"" because it's a way to hide her skin color that so many of you idiots hate her for . Her painting her face wasn't to insult us but to point out the issues she faces in a comedic fashion, where as black face is just a way to be more of a racist prick . Yes there is a difference, no as a white person you don't have the right to be offended because there is nothing to be offended over . Soooo sorry that she inadvertently pointed out some privileges we white folks have , you know like feeling safe in a modern society that still feels the need to identify people based on skin color .  Get off you high horses.",1
#FreePalestine # EndWar #FuckingHumanity .,1
"I can understand the protest against Monsanto concerning their multiple controversies, but protesting GMO's in general is simply ignorant. Genetic engineering is the first step to providing enough food to this overpopulated world, as it increases production and keeps food cheap. I can understand people want to follow the precautionary principle, and that is why I support labeling as it gives consumers the freedom of choice. But at the same time, there is _no_ evidence that GMO's are harmful (and no evidence that they are safe, to be fair), so why cause fear mongering when it is unjustified?

Until it is proven one way or another, people should decide for themselves and their family whether they want to eat GMO foods, rather than trying to fabricate evidence to satisfy a certain agenda.",0
I'm from a small developing country that provides education free including university education. America is filthy rich and gets students to spend money they don't have to get an education that is required for any decent job. Pathetic is an understatement!,1
"If Hitler lives this era and hates on Muslims instead of Jews. This would be a perfect time to exterminate the evils of muslims who wants to rule the world. I have no shame for me saying this.. I would dare to say that I will salut for Adolf Hitler and a hero for saving Europe. I got a feeling there will be a Hitler number 2 only matter of time to build self defence . Fuck Islamic bullshit. Standing up against Islam does not mean you’re a racist or a bigot, it simply means you’re not an idiot and can see the reality of Islam around the world.

NEVER be accepted in European countries. Sharia laws and culture are incompatible with European countries. Paris ... maybe 

Europeans will shoot back? I hope so before those filth touch on your wife and your daughters and future grandchildren.",1
"0:54 yes, i am sick of it too.  Who says woman should have class and dignity.  You all should be free to whore it up and be seen as pieces of meat.",1
"I wish for a week trump suffers in ""detention centre"" I guess then he will understand that what does it mean to be detained. I hate him with core of my heart.",1
This makes me thank hitler for getting rid of these fuckers as much as he could am I right?,1
"Same with every President. It's in the spotlight right now, but the view was the same. These facilities weren't built and put into use since January 2017. Nice try. And no, I'm in no way Trump voter.",0
"I know a few people who have worked at Google, and from what they've said, I don't believe any of these to be true. Google is a very diverse company that is dedicated to innovation, something I can get behind. Their projects are amazingly creative, and I'd love to work for them after I get degrees in engineering and computer science.",0
Oil...it all leads back to oil. It ALWAYS ends up being about oil... It's sickening how the elite battle for oil and money with the lives of those born less fortunate.,1
GET OUT OF MY LAND !!!!!,1
Sorry but what does this have to do specifically with Pokemon Go? You shouldn't play games in those areas to begin with. The game itself spawns various Pokemon in random locations. You're an inconsiderate asshat if you make selfies and or play any games in those areas.,1
"Chicago! NY style is nice, but it's boring. Anyone can make a flat pizza and put topping on it. Making a Chicago deep dish style takes time and serious effort.",0
Disgusting. I already knew he was a rapist. So sad victims of sexual violence have to constantly see images of him on their facebooks and other media. This election is so disturbing.,1
"is this inbred sack of shit dead yet? watch how his allah lets him die a painful death, but i'm sure he'll have his share of captured 10 year old girls to rape because the pedophile prophet said god said it's ok to take the girls as war booty and sex slaves, islam is a cancer we must start killing every muslim now before they unleash a hell apon this earth that we can't get back from, death to islam the pedophile rapists mohammads wet dreams",1
"So, some people love to hear nice words even the actions are the exact opposite of what was said... 

And then, judge the chosen words of another man by saying what he believe is best for his country. 

WOW!",0
"People are crying because Bernie stood for what America is supposed to be about. People from all walks of life. Not this corporate politician bullshit, or angry bigot billionaire bullshit... Both are warped versions of the American dream that favor specific groups of people instead of everyone. You had a chance America, and you blew it. Shout out to 3rd wave feminists, and your average uninformed voter who wanted a woman in office, no matter how corrupt.",1
"As soon as I read the video's title, I automatically knew it was Nigel Farage. What an asshat.",1
The under 301 club says mission accomplished!!,0
Fucking americans! They are ready to murder anything just for fun!,1
"They need to stop this and stop taking what Don't Belong to you. Let the people Live In Peace 😡 we should all be able to live a peaceful life. I'm so sick of this behavior this is what they're teaching there kid's its a real shame. We will never live in peace😡😡
My God help us all and give them peace.",1
"i swear, if i had the money, time. I would get many members of my group to go down into mexico and start raiding those gang bastards and make them pay for what they did, authorities that were involve will be and should be punished. people are sick of assholes causing trouble everyday. dont they ever get tired of doing this?",1
"oh men, I hate humanity so much!!",1
Tons of baby's are aborted every day and nobody says anything about it. This president is cleaning up his state and everyone is going crazy? What a fucked up society we live in? I fucking hate it!!!,1
"what a horrible incident, if you don't like meat dont eat meat, if you don't like pork dont eat pork. Just don't deny the other person the right to eat and drink whatever they want or need. Any Indian who believes in that idiotic behavior living in America would never do something like that here, and beat a person because she is carrying beef. It's fucken food bro, get over it.",1
Meanwhile AJ shits all over Halloween. Fuck AJ.,1
So this people think allah only gives a shit about people with cash. I hate Saudi Arabia very disgusting people I piss in them.,1
New York,0
"These people are human to, but I believe G-d is getting ready to come back and destroy all evil in the earth and that means Trump is going to HELL!",1
"This was an inside job. These people were killed by their own to stir up chaos and more hate. Mark my words, this charade was planned and executed by their own govenrment in the same way that all incidents, that aim to divert attention away from the elite, are.",1
Remove Mulsims and Islam form face of the Earth so we can finaly advance as humankind.,1
"YAY! Racism world wide officially ended on Jun 9, 2015.",0
"AJ+ has to lie to gain viewers.
What a shit channel, made for stupid uber-leftist losers.",1
It wouldn't happen if assholes would stop buying the horns thinking consuming it is gonna magically give them a stiff pecker or some other superstitious bullshit.,1
Fuck you AJ+ ! You have no clue what is india about!,1
"Why was this white trash even allowed to have stage time? At a college no less where there is supposed to be 'educated' people. Yes freedom of speech, but that doesn't work if you're infringing on the rights of others. If the public has that much of an outcry, why would you still let him come? Makes no sense to me why this hateful racist POS would be allowed to speak. Doesn't even deserve a brain.",1
"If you don't like to be beaten in that way, DO NOT STEAL AND DO NOT RESIST
Criminals deserve for some punishment, don't love or pity the criminals instead look for the other side what about the victim?
What if the victim had been stabbed before the car was stolen?

I don't like one of my family experience that way. He deserved to be beaten to hell, if one of my family's life is in danger, I will kill him instead.

And also, don't cut the tape, show the whole video, you are just focusing directly to a bad side while the man-angel-like-crying-to-please-stop gets heart attack.

Don't be such like a mainstream media, just making the opposition government looks good in their bad doing, and making bad report on government's good doing.",1
If you've been in this country for 15+ years I feel what you contributed to society should be the only factor in deciding if you should stay ... Americans have never had to immigrate to another country because the u.s is so huge they can just move to another state... we don't have the experience yet we determine the fate of illegals. If they are good people who have done nothing but take care of their families then deporting them makes no sense give them a warning ⚠️ tell them they have x amount of time to file their paperwork but literally grabbing them out of the life they lived for years is pointless I'm not sure how the u.s benefits from deported good hardworking people,0
"Think of the millions in stolen money that the government uses to put on these false flag terror operations. Mourn for the United States of America - it is run by lying, greedy, controlling evil people.",1
Man fuck the UN those sick fucks!,1
Got to keep our prayers and good energy sent their way if we can't make it out there. Stay educated and informed and spread the word.,0
"I have not, admittedly, educated myself on this issue very well. However, I must state here my recognizition and appreciation for the Indians integrity in their stand- I've not heard of any violence, shootngs, cars on fire, buildings burned (though I realize this is in a rural area)...it's jsut not present. Good for them.",0
Shoot all those who shot the journalist.... ENOUGH. Rubber bullets might not kill but they are still meant to hurt...,1
Its nice to know that Americans aren't the only idiots in the world.  Americans killed all wolves in the lower 48 by the 1930s and have tried to bring them back in Yellowstone in the 1990s.  People can't share pray animals with any other apex predator.  Everything else must be eliminated.  This is one of the reasons animal populations are crashing around the world.,1
"Putting to one side the fact that Bill Gates is donating pretty much all of his wealth and using it to solve the world's biggest issues, maybe that 3.6 billion people should get better at life",0
KIM IS MY HERO!!! LOVE YOU KIM GOD BLESS YOU. YOU WILL BE REWARDED IN HEAVEN FOR STICKING UP FOR WHAT IS RIGHTEOUS AND HOLY. MARRIAGE CREATED BY GOD FOR ONE MAN AND ONE WOMEN.,0
Love you IDF beat those fuckers.,1
I'm positive that President Trump does not have any issues with Immigrants who enter the USA legally and assimilate into the USA culture and abide by the laws of the land.  Why don't the Democrats get that??  It's the people who come into the country illegally and especially the ones who do not assimilate.,0
Dont know why this keeps ending up on my feed...DEPORT!,1
"I am not afraid of feminism. I just hate it and there's a growing group of people that agree with me. I agree with true gender equality and just because I say I believe in gender equality and that I'm not a feminist doesn't mean I don't know what feminism is. Saying that is bigoted on a level I can't even begin to explain. You're telling me that the only possible reason I could not want to be a feminist is that I don't know what it means? So, I guess I can't think for myself or come to my own conclusions based on rational thought. Is that what you're saying? Well, considering the fact that I'm a woman (and let's be honest you guys don't believe sexism against men can happen, even though it does all the time) isn't that kind of a sexist things to say? And you wonder why people don't want to call themselves feminists. Well, I can't imagine why not! It's so fun to be called stupid. Yay feminism?

You know what I think? You guys are scared. You're scared of all the people out there turning against feminism and so you have to convince yourself that more people want to be feminists than don't. It's actually really pathetic. ",1
Oh no how horrible...maybe they'll flee back to Syria,1
Hè is the only leader that people will defend him.media in Philippines are assholes that is why international news always bad news about him and oversensetionalize again.,1
"Another Zionist Jew!!!
Gas them up Now!! Sieg Heil",1
"I cannot believe you babe. Using babies. They need to stay in the country we don't need no more Muslims in our country. He talks sweet now, but when he is older and learns about his religion he'll start killing us. Keep them out. Quit bullshitting  the public you progress Aholes",1
"This is why I can't stand being a republican...too many deplorable baboons, just too many and to think that apology means something...",1
"Kill as many Muslims as possible, they r like true cancer to this planet",1
the dapl protestors are not violemt people trying to riot. the guy trump made that comment about was a man that was violently trying to disrupt a rally. compairing the two is not fair to the dapl protestors and is misleading information.,0
I would received any human being any living thing with care and open arms.  Find solutions not division amongst ourselves. I'm not going to let the hatred of war still my joy for a better world . I'm not going to give any one the pleasure of stealing my love for my fellow sisters and brothers no matter what . Love and peace no matter what 💟 Unity makes the strengh.,0
"Yep, and these are the stupid cops that are suppose to be protecting us. If they keep doing this shit something is definitely gonna go down real soon",1
"what Hawaii was 20 years ago is no longer.  All you see when you go there is another California, but even richer whites owning the lands.",0
"Alice Hennessy. Guess you're a one nation supporter? Australia is going backwards in so many ways. Attitudes, environment, rich getting richer, poor poorer. Aleppo citizens - I so hope that reprieve and help comes soon. So wrong how the people suffer.",0
"America is indirectly killer of Palestinians, innocent kids and destroying buildings which is illegal. cause they are the main founder of Israel by supporting and spending billion of US Dollars every year. Why they are not paying this money for their own nations? Showing humanity to others and killing innocence in Palestine? When they will open their eyes? sigh.......:(",1
Jewish dogs,1
"These people in Congress have only represented themselves after been voted into office. However the people who voted for them are the common people who are living in abject proverty.........The minimum wagers, while these henious motherfuckers are living in million dollar mansions....in my Bernie Mac voice Fuckem Fuckem All. Time to clean up Congress. The president gets four years one or two terms. These people have been holding seats for over four decades.",1
This is wrong let it be known they are stealing their land to build oil pipelines this is wrong they're destroying their burial grounds to run a pipeline through it,1
Poor Yemenis. I hate Saudi Arabia,1
Don't you see how the police act like ignorant ass holes.  They definitely don't want peace. They are a bunch of shit. ,1
