text,label
freedom of speech and choice,0
Its ISLAMS fault that the teacher was suspicious! Not this boys fault Hes smart and ingenious but Islam is giving ALL MUSLIMS a scarey wrap! Tell Muslims to STOP TERRORIZING the world then maybe we wont be so suspicious of them,1
Islam is a Cancer Kill it before it spreads,1
start killing these refugess before they take over,1
kill those fucking leaches,1
What a piece of shit white Devils,1
Dominos makes the best pizza,0
AJ talk to me when Donald Trump ads 9 trillion to the deficit until then take that hand that you have free and stick it up your ass 👌🏼,1
Trumps Grandpa was an immigrant himself its amazing how many people in that country support an immigration ban where they all are from immigration themselves I absolutely dont get it Were all immigrants at one point or another if you follow the family tree,0
Islam is cancerous poison,1
youre not welcome anymore Sergio go back to your country and be a man take your f kids with you and your wife were sick of f illegal immigrants,1
The flag is a symbol of treason its fine for private citizens to fly one but the government cannot fly a symbol of treason at its capital,1
First view,0
Why not shooting the terrorist shit???,1
He didnt earn this money through hardwork it is all black money and extreme corruption so he will never spend this money wisely,1
Jay walking is an Infraction Punishable by a fine Not a bloody face and an arrest,0
Fucking Israeli what the hell they r doing nothing but killing innocent,1
Illegal rapy criminals they play victims at the borders and when they enter Events in Germany France Uk Sweeden speaks for themselves Keep those fuckers out !!!,1
I seen a video the other day which said weve passed the point of no return now and within 50 years we will see major damage to the planet All because corrupt greedy pricks in power wont do a damn thing to stop it getting worse Well done elite corrupt bastards,1
so clearly explainedwhat if this was the historical fork in the road that had us all come together for what was right? What if this groundswell of committed support is the very way we innovate for new energy options that then lead to work for all those in the oil industry? What if we just hold up this outcome in our minds as plausible,0
NY pizza lame Deep dish is where its at Chicago also makes thin crust and it is also fire,0
Goverment need to take the actions about it Like build the cave with trees inside for bats I hate goverment that dont care about animals but just money oil drills and destory the mother of nature,1
Heres something else AJ is owned by the Qatari network Al Jazeera and their biased agenda bleeds through every post they make The alt right is stupid and so is this white nationalist retard Duh Everyone who has the least bit of intelligence knows this Why are you so bent on focusing on racism AJ ? You are so one sided its disgusting,1
Kill these bastards,1
São Paulo pizza bye,0
We have a prime minister John key from New Zealand over in America now helping Obama push the TPPA TPP down the Americans throatwe in New Zealand dont want this garbage its not about free tradeits about taking away our sovereignty our rites our Democracykey is not a man to be trustedhes a liarif the TPPAwas so good why dont they have a national debate about it so we can all have saywell thats not going to happenbecause then all the people in this world would see what the TPPA is really about an its not gooddown with corrupt positionsthese people are all about themselvesmoney greed poweran the you dont matteran ll the best Americathis world depends on yous to make the right choiceKia ora New Zealand,1
WTF kind of news is this??? Do you think showing fucktards doing fucktarded batshit crazy stuff is news? Spirituality tradition etc this is not news This is crap Thanks AJ,1
Dirty fucking israeli zionist jews,1
Fucking AmericansI would go live in Mars if I could since it seems that Muslims might get persecuted in a couple of years like the Jews in nazi Germany,1
I would kill those men and torture them till there bones falls apart,1
I thought they were giving Charles Manson a makeover at first,0
This is VERY TRUE!!!!!!!!!!!!!!!!!!!!!! I been camping at Standing Rock and its a everyday battle fighting for whats LIFE And that is protecting our Water MNI WICONI,0
Deport his fat butt now!!,1
This was so sad They say they are like family but yet hold them by their necks and dress them up for a beauty contest then fuckin eat them!!!! WTF! Yes animals are eaten every day but they arent treated as family and used for a contest just to be eaten in the end! Humans are such assholes!!!! Animals deserve respect not to be looked at as food,1
What waste of money just shoot them as they come across that is a better deterrent Kill them they will not be back,1
This wasnt a hate crime James fairweather was a serial killer obsessed with the Yorkshire ripper a well a ted bundy and a few others He blamed his voices for telling him who to kill He also killed a white man before so this really isnt a hate crimeits just a cruel and sad thing that happened to this poor woman Although there are too many British racist idiots out there were not all like that Just like the battle many Muslims have convincing people that they dont stand up for the radical ideas of organisations like isis peace and love too all and my condolences to the family and friends of Ms Nahid Almanea,0
