text,label
"['t', 'h', 'i', 's', ' ', 'i', 's', ' ', 'd', 'i', 's', 'g', 'u', 's', 't', 'i', 'n', 'g', ' ', 'a', 'n', 'd', ' ', 't', 'h', 'e', 'y', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'd', 'o', ' ', 't', 'h', 'e', ' ', 's', 'a', 'm', 'e', ' ', 's', 'h', 'i', 't', ' ', 't', 'o', ' ', 't', 'h', 'e', ' ', 'c', 'o', 'p', 's', ' ', 'o', 'f', ' ', 'w', 'h', 'a', 't', ' ', 't', 'h', 'e', 'y', ' ', 'd', 'i', 'd', ' ', 't', 'o', ' ', 't', 'h', 'a', 't', ' ', 'p', 'o', 'o', 'r', ' ', 'g', 'u', 'y', '.', ' ', '1', '0', ' ', 's', 'e', 'c', 'o', 'n', 'd', 's', ' ', 'o', 'f', ' ', 'p', 'e', 'p', 'p', 'e', 'r', ' ', 's', 'p', 'r', 'a', 'y', ' ', 'd', 'i', 'r', 'e', 'c', 't', 'l', 'y', ' ', 'i', 'n', 't', 'o', ' ', 't', 'h', 'e', ' ', 'f', 'a', 'c', 'e', ',', ' ', 'r', 'u', 'n', ' ', 'o', 'v', 'e', 'r', ' ', 'f', 'o', 'o', 't', ' ', 'e', 't', 'c', '.', ' ', 'e', 'q', 'u', 'a', 'l', ' ', 'i', 't', ' ', 'u', 'p', ' ', 'a', ' ', 'l', 'i', 't', 't', 'l', 'e', ' ', 'b', 'i', 't', ',', ' ', 'e', 'x', 'c', 'e', 'p', 't', ' ', 'f', 'o', 'r', ' ', 't', 'h', 'e', ' ', 'd', 'e', 't', 'a', 'i', 'l', ' ', 'o', 'f', ' ', 'h', 'a', 'v', 'i', 'n', 'g', ' ', 'a', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 's', 't', 'r', 'o', 'k', 'e', '.', ' ', 's', 'o', ' ', 'i', 't', ' ', 's', 't', 'i', 'l', 'l', ' ', 'w', 'o', 'u', 'l', 'd', 'n', ""'"", 't', ' ', 'b', 'e', ' ', 'e', 'x', 'a', 'c', 't', 'l', 'y', ' ', 'w', 'h', 'a', 't', ' ', 't', 'h', 'e', ' ', 'g', 'u', 'y', ' ', 'w', 'e', 'n', 't', ' ', 't', 'h', 'r', 'o', 'u', 'g', 'h', '.', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 'd', 'i', 's', 'c', 'u', 's', 't', 'i', 'n', 'g', '.', ' ', 't', 'h', 'e', 'y', ' ', 'g', 'e', 't', ' ', 'a', ' ', 'h', 'a', 'r', 'd', ' ', 'o', 'n', ' ', 'p', 'o', 'w', 'e', 'r', ' ', 't', 'r', 'i', 'p', 'p', 'i', 'n', 'g', ' ', 'o', 't', 'h', 'e', 'r', 's', '.', ' ', 't', 'h', 'e', 'y', ' ', 'a', 'r', 'e', ' ', 'j', 'u', 's', 't', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 'c', 'o', 'w', 'a', 'r', 'd', 's']",1
"['F', 'u', 'c', 'k', ' ', 't', 'h', 'a', 't', ' ', 'c', 'o', 'p', '.', ' ', 'N', 'o', 't', 'h', 'i', 'n', 'g', ' ', 'b', 'u', 't', ' ', 'a', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 't', 'h', 'u', 'g', '.', ' ', 'G', 'a', 'n', 'g', ' ', 'c', 'o', 'p', 's']",1
"['F', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 'p', 'i', 'e', 'c', 'e', ' ', 'o', 'f', ' ', 's', 'h', 'i', 't', ' ', 'c', 'o', 'p', 's', ',', ' ', 'p', 'r', 'o', 't', 'e', 'c', 't', ' ', 'a', 'n', 'd', ' ', 's', 'e', 'r', 'v', 'e', ' ', 'm', 'y', ' ', 'a', 's', 's']",1
"['L', 'a', 'n', 'd', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'f', 'r', 'e', 'e', '.', '.', '.', ' ', 'M', 'y', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 'a', 's', 's', '.', ' ', 'A', 'm', 'e', 'r', 'i', 'c', 'a', ' ', 'i', 's', ' ', 'o', 'n', 'e', ' ', 'h', 'e', 'l', 'l', ' ', 'o', 'f', ' ', 'a', ' ', 's', 'h', 'i', 't', ' ', 'h', 'o', 'l', 'e', ' ', 'w', 'h', 'e', 'r', 'e', ' ', 'i', 't', 's', ' ', 'f', 'u', 'l', 'l', ' ', 'o', 'f', ' ', 'd', 'u', 'm', 'b', ' ', 's', 'h', 'e', 'e', 'p', 'l', 'e', ' ', 'b', 'e', 'l', 'i', 'e', 'v', 'i', 'n', 'g', ' ', 'i', 'n', ' ', 'f', 'i', 'c', 't', 'i', 'o', 'n', 'a', 'l', ' ', 'f', 'o', 'x', ' ', 'n', 'e', 'w', 's', ' ', 'a', 'n', 'd', ' ', 'c', 'o', 'p', 's', ' ', 'w', 'h', 'o', ' ', 'k', 'i', 'l', 'l', ' ', 'a', 'n', 'd', ' ', 't', 'e', 'r', 'r', 'o', 'r', 'i', 's', 'e', ' ', 'm', 'o', 'r', 'e', ' ', 'p', 'e', 'r', ' ', 'd', 'a', 'y', ' ', 't', 'h', 'a', 'n', ' ', 't', 'e', 'r', 'r', 'o', 'r', 'i', 's', 't', 's', ' ', 'i', 'n', ' ', 't', 'h', 'i', 's', ' ', 'w', 'h', 'o', 'l', 'e', ' ', 'w', 'o', 'r', 'l', 'd', ' ', 'c', 'o', 'm', 'b', 'i', 'n', 'e', 'd', '.']",1
"['T', 'h', 'e', 's', 'e', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 'c', 'o', 'p', 's', ' ', 'a', 'r', 'e', ' ', 'o', 'u', 't', ' ', 'o', 'f', ' ', 'c', 'o', 'n', 't', 'r', 'o', 'l', '!']",1
"['c', 'o', 'p', 's', ' ', 'l', 'i', 'k', 'e', ' ', 't', 'h', 'e', 's', 'e', ' ', 'a', 'r', 'e', ' ', 't', 'h', 'e', ' ', 'b', 'i', 'g', 'g', 'e', 's', 't', ' ', 'p', 'u', 's', 's', 'i', 'e', 's', '.', ' ', 'a', 's', ' ', 'a', ' ', 'v', 'e', 't', 'e', 'r', 'a', 'n', ',', ' ', 'i', ' ', 'a', 's', 's', 'u', 'r', 'e', ' ', 'y', 'o', 'u', ' ', 'i', 't', ' ', 'i', 's', ' ', 'e', 'a', 's', 'y', ' ', 't', 'o', ' ', 'd', 'e', 't', 'a', 'i', 'n', ' ', 'a', ' ', 'p', 'e', 'r', 's', 'o', 'n', ' ', 'w', 'i', 't', 'h', 'o', 'u', 't', ' ', 'u', 's', 'i', 'n', 'g', ' ', 'm', 'u', 'c', 'h', ' ', 'f', 'o', 'r', 'c', 'e', ',', ' ', 'E', 'S', 'P', 'E', 'C', 'I', 'A', 'L', 'L', 'Y', ' ', 'i', 'f', ' ', 'y', 'o', 'u', ' ', 'h', 'a', 'v', 'e', ' ', 'a', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 's', 'q', 'u', 'a', 'd', ' ', 'a', 'g', 'a', 'i', 'n', 's', 't', ' ', 'a', ' ', 's', 'i', 'n', 'g', 'l', 'e', ' ', 'p', 'e', 'r', 's', 'o', 'n', '.', ' ', 'I', ""'"", 'd', ' ', 'l', 'i', 'k', 'e', ' ', 't', 'o', ' ', 't', 'a', 'k', 'e', ' ', 'o', 'n', 'e', ' ', 'o', 'f', ' ', 't', 'h', 'e', 's', 'e', ' ', 'g', 'u', 'y', 's', ' ', 'o', 'u', 't', ' ', 'b', 'a', 'c', 'k', ' ', 'a', 'n', 'd', ' ', '""', 'w', 'a', 't', 'c', 'h', ' ', 'h', 'i', 'm', ' ', 't', 'r', 'i', 'p', ' ', 'a', 'n', 'd', ' ', 'f', 'a', 'l', 'l', '""']",1
"['P', 'e', 'o', 'p', 'l', 'e', ' ', 's', 'h', 'o', 'u', 'l', 'd', ' ', 'j', 'u', 's', 't', ' ', 'g', 'r', 'o', 'u', 'p', ' ', 'u', 'p', ' ', 'a', 'n', 'd', ' ', 'j', 'u', 'm', 'p', ' ', 't', 'h', 'e', 's', 'e', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 'c', 'o', 'p', 's', ' ', 'i', 'n', 's', 't', 'e', 'a', 'd', ' ', 'o', 'f', ' ', 'j', 'u', 's', 't', ' ', 's', 't', 'a', 'n', 'd', 'i', 'n', 'g', ' ', 't', 'h', 'e', 'r', 'e', ' ', 'r', 'e', 'c', 'o', 'r', 'd', 'i', 'n', 'g', '.', ' ', 'E', 'n', 'o', 'u', 'g', 'h', ' ', 'i', 's', ' ', 'e', 'n', 'o', 'u', 'g', 'h', ',', ' ', 'h', 'a', 'v', 'e', ' ', 's', 'o', 'm', 'e', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 'd', 'i', 'g', 'n', 'i', 't', 'y', ' ', 'a', 'n', 'd', ' ', 's', 'e', 'l', 'f', ' ', 'r', 'e', 's', 'p', 'e', 'c', 't', '.', ' ', 'H', 'e', ' ', 'd', 'i', 'd', 'n', ""'"", 't', ' ', 'w', 'a', 'n', 't', ' ', 't', 'o', ' ', 'l', 'e', 't', ' ', 'h', 'i', 'm', ' ', 'g', 'o', ' ', 'a', 'n', 'd', ' ', 'h', 'a', 'd', ' ', 'n', 'o', ' ', 'r', 'e', 'a', 'l', ' ', 'r', 'e', 'a', 's', 'o', 'n', ' ', 't', 'o', ' ', 'a', 'r', 'r', 'e', 's', 't', ' ', 'h', 'i', 'm', ',', ' ', 'b', 'r', 'e', 'a', 'k', ' ', 'h', 'i', 's', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 'a', 'r', 'm', '.', ' ', 'T', 'h', 'a', 't', ' ', 'w', 'i', 'l', 'l', ' ', 't', 'e', 'a', 'c', 'h', ' ', 'h', 'i', 'm', ' ', 't', 'o', ' ', 'n', 'o', 't', ' ', 'p', 'u', 't', ' ', 'h', 'a', 'n', 'd', 's', ' ', 'o', 'n', ' ', 'p', 'e', 'o', 'p', 'l', 'e', ' ', 'w', 'h', 'e', 'n', ' ', 'i', 't', ""'"", 's', ' ', 'n', 'o', 't', ' ', 'c', 'a', 'l', 'l', 'e', 'd', ' ', 'f', 'o', 'r', '.', ' ', 'P', 'O', 'S', '.', ' ', 'M', 'a', 'n', ' ', 'u', 'p', ' ', 'A', 'm', 'e', 'r', 'i', 'c', 'a', '.', ' ', 'I', ' ', 'r', 'e', 'f', 'u', 's', 'e', ' ', 't', 'o', ' ', 'b', 'e', ' ', 't', 'r', 'e', 'a', 't', 'e', 'd', ' ', 'a', 's', ' ', 'a', ' ', 's', 'e', 'c', 'o', 'n', 'd', ' ', 'c', 'l', 'a', 's', 's', ' ', 'A', 'm', 'e', 'r', 'i', 'c', 'a', 'n', ',', ' ', 'o', 'r', ' ', 'b', 'e', ' ', 'c', 'a', 'l', 'l', 'e', 'd', ' ', 'a', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 'm', 'i', 'n', 'o', 'r', 'i', 't', 'y', ' ', 'b', 'y', ' ', 'a', 'n', ' ', 'a', 'b', 'u', 's', 'i', 'v', 'e', ' ', 'm', 'a', 'j', 'o', 'r', 'i', 't', 'y', '.', ' ', 'E', 'v', 'e', 'n', ' ', 'i', 'f', ' ', 'y', 'o', 'u', ' ', 'a', 'r', 'e', ' ', 's', 'i', 'l', 'e', 'n', 't', ',', ' ', 'y', 'o', 'u', ' ', 'a', 'r', 'e', ' ', 's', 't', 'i', 'l', 'l', ' ', 'p', 'a', 'r', 't', ' ', 'o', 'f', ' ', 't', 'h', 'e', ' ', 'p', 'r', 'o', 'b', 'l', 'e', 'm', '.']",1
"['O', 'f', ' ', 'c', 'o', 'u', 'r', 's', 'e', ' ', 'c', 'o', 'p', 's', ' ', 'c', 'o', 'u', 'l', 'd', 'n', ""'"", 't', ' ', 'm', 'a', 'k', 'e', ' ', 'i', 't', ' ', 'b', 'e', 'f', 'o', 'r', 'e', ' ', 't', 'h', 'e', ' ', 'r', 'o', 'b', 'b', 'e', 'r', 's', ' ', 'l', 'e', 'f', 't', '.', '.', '.', 't', 'h', 'e', 'y', ' ', 'w', 'e', 'r', 'e', ' ', 't', 'o', ' ', 'b', 'u', 's', 'y', ' ', 's', 'h', 'o', 'o', 't', 'i', 'n', 'g', ' ', 'd', 'o', 'g', 's', ' ', 'a', 'n', 'd', ' ', 'f', 'u', 'c', 'k', 'i', 'n', 'g', ' ', 'k', 'i', 'd', 's', '.']",1
"['T', 'h', 'e', ' ', 'c', 'o', 'p', ""'"", 's', ' ', 'a', ' ', 'p', 'i', 'g', ',', ' ', 'b', 'u', 't', ' ', 'I', ' ', 'w', 'o', 'u', 'l', 'd', 'n', ""'"", 't', ' ', 'm', 'i', 'n', 'd', ' ', 'h', 'i', 'm', ' ', 'b', 'o', 'd', 'y', ' ', 's', 'l', 'a', 'm', 'm', 'i', 'n', 'g', ' ', 'm', 'e', '.', ' ', ';', ')']",1
"['I', ' ', 'h', 'o', 'p', 'e', ' ', 't', 'h', 'a', 't', ' ', 'p', 'i', 'e', 'c', 'e', ' ', 'o', 'f', ' ', 's', 'h', 'i', 't', ' ', 'g', 'e', 't', 's', ' ', 'a', 't', ' ', 'e', 'a', 's', 't', ' ', '3', ' ', 'y', 'e', 'a', 'r', 's', ' ', 'o', 'r', ' ', 'f', 'i', 'r', 'e', 'd', ',', ' ', 'n', 'o', 't', ' ', 'o', 'n', 'l', 'y', ' ', 'd', 'o', 'e', 's', ' ', 'h', 'e', ' ', 'n', 'o', 't', ' ', 'b', 'e', 'l', 'o', 'n', 'g', ' ', 'i', 'n', ' ', 'a', ' ', 's', 'c', 'h', 'o', 'o', 'l', ',', ' ', 'h', 'e', ' ', 'd', 'o', 'e', 's', 'n', ""'"", 't', ' ', 'b', 'e', 'l', 'o', 'n', 'g', ' ', 'o', 'n', ' ', 't', 'h', 'e', ' ', 'f', 'o', 'r', 'c', 'e', '.']",1
