text,label
WOW just fueling the fire arent you!!!! Let not forget to be decent people that are working together in a peaceful way to be what we would like to see others be To be what our ancestors would be proud of us being Choose your battles wisely Standing rock is a great example of this Many peoples coming together to challenge the darkness,0
I cant see a baby in that video Did it disapear? Again a journalist bullshit First of all when the police tells you are not allowed to go to that camp thats itwhat is she fking arguing about In our country she would be arrested no matter she is a refugee or legal citizen,1
If you support womens rights freedom of speech religion and other civil liberties YET are subscribed to AJ an arm of the Al Jazeera media network which is owned by a proWahabi Sunni royal Family of a nation which systematically persecutes homosexuals women and Christians A nation where Flogging and stoning is permitted and you will be put to death if you commit adultry with a nonmuslimIf you believe in the aforementioned civil liberties yet subscribe to a network owned by a family which spits on those civil liberties congratulations youre exactly the reason why people see 20something year old liberals as stupid hypocritical useful idiots Its extremely ironic how you willingly consume propaganda straight from Shariah controlled Qatar yet think conservatives are the the embodiment of the ignorant American sterotype Extremely ironic,1
This is some bullshit United Airlines you should be ashamed and compensate this man! Who wants to fly with you after they see this! My family will never fly with you a holes!,1
You cant care for the veteran you have sent to a needless war or supply clean drinking water to FlintMI But you can supply money to Israel to continue it genocide?,1
so the media and Hollywood are not directly doing publicity for Hillary but in a way or in another they keep toasting trump trying to change the public direction towards hillary i hate both but i think hillary is so desperate,1
The jews have been the subject racism for centuries Now that they have their own land you would think that theyd discourage victimisation of ethnic groups Especially on their own doorstep Its a case of the Jews becoming the germans of the 30s and 40s,1
Bernie supporters needs to stay vocal and make Hillary feel like their vote is not granted until the end of the campaign so she feels the need to stay as progressive as she can be With that said when comes the time to vote everyone needs to vote for her for the simple reason that Trump is a bigot filled with racism hatred and black sludge I hate Hillary too but we cant let a dictator win the elections!!!,1
This is how devils work These are the things they do They have and will continue to try to find ways to eliminate us completely Steal kill rape and pillage Thats all they know how to do,1
What Canadian mining companies are doing to Mexicans stealing their land forcing them out polluting our soil polluting our groundwater tables is also TERRORISM and nobody talks about it! Stop hypocrisy!,1
Honestly leftists are always complaining about liberal inaction but I cant figure out how dudes like this and the ones that contribute to the daily stormer havent been shot in the street on the way to the grocery store yet given Americas love of vigilantism,1
This is another way of men trying to contrôle women by dictating what to wear and french democracy is full of crap if a women can wear a bikini or nothing then I guess a women should be free to wear a burkini or a burka other wise its double standard and hipocritical period!!!,1
They even own media houses around the world so not even 10 population can get to know about this People need to wake up and realize Israel is a terrorist state and the start of terorrism actually started by the Jews for making money,1
All this asshat has done since becoming president elect is put homophobes and antisemites in his cabinet Then he goes on twitter to cry about how the media and the public are mean to him Were going to go to nuclear war because you morons voted in this guy Good job America!,1
Donald Trump answers the question What is 22? I have to say a lot of people have been asking this question No really A lot of people come up to me and they ask me They say Whats 22? And I tell them look we know what 22 is Weve had almost eight years of the worst kind of math you can imagine Oh my god I cant believe it Addition and subtraction of the 1s the 2s and the 3s Its terrible Its just terrible Look if you want to know what 22 is do you want to know what 22 is? Ill tell you First of all the number 2 by the way I love the number 2 Its probably my favorite number no it is my favorite number You know what its probably more like the number two but with a lot of zeros behind it A lot If Im being honest I mean if Im being honest I like a lot of zeros Except for Marco Rubio now hes a zero that I dont like Though I probably shouldnt say that Hes a nice guy but hes like 10101000101 on and on like that Hes like a computer! You know what I mean? Hes like a computer I dont know I mean you know So we have all these numbers and we can add them and subtract them and add them TIMES them even Did you know that? We can times them OR divide them they dont tell you that and Ill tell you no one is better at the order of operations than me You wouldnt believe it That I can tell you So were gonna be the best on 22 believe me OK? Alright Thank you,0
So there behaviour all over Europe is because of this Wat a load of bolllocks Always coming up with a poxy excuse for these animals,1
